league_id,league_country,team,team_id
39,English,Manchester United,33
39,English,Newcastle,34
39,English,Fulham,36
39,English,Wolves,39
39,English,Liverpool,40
39,English,Southampton,41
39,English,Arsenal,42
39,English,Burnley,44
39,English,Everton,45
39,English,Leicester,46
39,English,Tottenham,47
39,English,West Ham,48
39,English,Chelsea,49
39,English,Manchester City,50
39,English,Brighton,51
39,English,Crystal Palace,52
39,English,West Brom,60
39,English,Sheffield Utd,62
39,English,Leeds,63
39,English,Aston Villa,66
140,Spanish,Barcelona,529
140,Spanish,Atletico Madrid,530
140,Spanish,Athletic Club,531
140,Spanish,Valencia,532
140,Spanish,Villarreal,533
140,Spanish,Sevilla,536
140,Spanish,Celta Vigo,538
140,Spanish,Levante,539
140,Spanish,Real Madrid,541
140,Spanish,Alaves,542
140,Spanish,Real Betis,543
140,Spanish,Eibar,545
140,Spanish,Getafe,546
140,Spanish,Real Sociedad,548
140,Spanish,Granada CF,715
140,Spanish,Valladolid,720
140,Spanish,Cadiz,724
140,Spanish,Huesca,726
140,Spanish,Osasuna,727
140,Spanish,Elche,797
61,French,Angers,77
61,French,Bordeaux,78
61,French,Lille,79
61,French,Lyon,80
61,French,Marseille,81
61,French,Montpellier,82
61,French,Nantes,83
61,French,Nice,84
61,French,Paris Saint Germain,85
61,French,Dijon,89
61,French,Monaco,91
61,French,Nimes,92
61,French,Reims,93
61,French,Rennes,94
61,French,Strasbourg,95
61,French,Toulouse,96
61,French,Lorient,97
61,French,Stade Brestois 29,106
61,French,Metz,112
61,French,Lens,116
61,French,Saint Etienne,1063
135,Italian,Lazio,487
135,Italian,Sassuolo,488
135,Italian,AC Milan,489
135,Italian,Cagliari,490
135,Italian,Napoli,492
135,Italian,Udinese,494
135,Italian,Genoa,495
135,Italian,Juventus,496
135,Italian,AS Roma,497
135,Italian,Sampdoria,498
135,Italian,Atalanta,499
135,Italian,Bologna,500
135,Italian,Crotone,501
135,Italian,Fiorentina,502
135,Italian,Torino,503
135,Italian,Verona,504
135,Italian,Inter,505
135,Italian,Benevento,506
135,Italian,Spezia,515
135,Italian,Parma,523
88,Dutch,PEC Zwolle,193
88,Dutch,Ajax,194
88,Dutch,Willem II,195
88,Dutch,PSV Eindhoven,197
88,Dutch,ADO Den Haag,198
88,Dutch,De Graafschap,199
88,Dutch,Vitesse,200
88,Dutch,AZ Alkmaar,201
88,Dutch,Groningen,202
88,Dutch,NAC Breda,203
88,Dutch,VVV Venlo,204
88,Dutch,Fortuna Sittard,205
88,Dutch,Heracles,206
88,Dutch,Utrecht,207
88,Dutch,Emmen,208
88,Dutch,Feyenoord,209
88,Dutch,Heerenveen,210
88,Dutch,NEC Nijmegen,413
88,Dutch,Roda,414
88,Dutch,Twente,415
88,Dutch,FC Volendam,416
88,Dutch,Waalwijk,417
88,Dutch,Almere City FC,419
88,Dutch,Sparta Rotterdam,426
78,German,Bayern Munich,157
78,German,Hertha Berlin,159
78,German,SC Freiburg,160
78,German,VfL Wolfsburg,161
78,German,Werder Bremen,162
78,German,Borussia Monchengladbach,163
78,German,FSV Mainz 05,164
78,German,Borussia Dortmund,165
78,German,1899 Hoffenheim,167
78,German,Bayer Leverkusen,168
78,German,Eintracht Frankfurt,169
78,German,FC Augsburg,170
78,German,VfB Stuttgart,172
78,German,RB Leipzig,173
78,German,FC Schalke 04,174
78,German,Union Berlin,182
78,German,Arminia Bielefeld,188
78,German,Holstein Kiel,191
78,German,FC Koln,192
